,Sale,SalesAmountInEuro,time_delay_for_conversion,click_timestamp,nb_clicks_1week,product_price,product_age_group,device_type,audience_id,product_gender,product_brand,prod_category1,prod_category2,prod_category3,prod_category4,prod_category5,prod_category6,prod_category7,product_country,product_id,product_title,partner_id,user_id
10444,0,-1.0,-1,1598842113,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,0135912E122DA5C7531FC04BCEB988D0
11285,0,-1.0,-1,1598824176,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,BBBAD5A6C857F2988E8E9D66C0361A19
87581,0,-1.0,-1,1600448810,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,0B402E9643D1C91FF8EAC5A0224392B3
136195,0,-1.0,-1,1598665248,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,8621838CFEBC44C6D95D6A2213EC8788
173952,0,-1.0,-1,1601044094,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,D6C27E386E8600D508EFB88AF79785A3
214651,0,-1.0,-1,1604103709,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,E586C387FB55A8CD00905F860BDC7C0B
292877,0,-1.0,-1,1602035187,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,994740F9F33735370AC53BC99F913AD5
313592,0,-1.0,-1,1600274211,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,C096F492CB2A367D8940F1F64F40D3C1
339828,0,-1.0,-1,1598640814,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,3332C346547EA042B3AA07CBB0DBDD21
363902,0,-1.0,-1,1598595521,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,FBBB432FAACB69E48CD1F0A6917EA341
367938,0,-1.0,-1,1598591468,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,B149F5BEC5AE7A52840AB0CD8113871A
440455,0,-1.0,-1,1603224669,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,55FF0738C32002815539C45ACF78CB4E
442768,0,-1.0,-1,1603238103,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,4592C46525537D19EE5E52F71766EE4A
469284,0,-1.0,-1,1601156944,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,1BAC22682DE605CF09CFD21414E3F69D
493360,0,-1.0,-1,1603080929,-1,0.0,-1,FF2C446555E3822B0E0FC3406116E86D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,BE4BBACD28C307ABB7D46A0146276C2B
555409,0,-1.0,-1,1602828432,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,DBE65A4F26276EE048A020B5F04085D6
610829,0,-1.0,-1,1599664779,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,955394D409A976A040C104D7EFB2264D
932910,0,-1.0,-1,1598555213,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,28047323DF36F66F48EB8D918CAE9484
933270,0,-1.0,-1,1598595538,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,FBBB432FAACB69E48CD1F0A6917EA341
985580,0,-1.0,-1,1603155805,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,DA123CB867B5B263FDEA1C92F52C4D14
1027741,0,-1.0,-1,1597679362,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,49674DBDBDFD4CB98CF01960AF4D9FDE
1120987,0,-1.0,-1,1598798830,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,DC5954DDF50FAEF38586021D5F2B4E09
1246164,0,-1.0,-1,1600450987,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,32E5549A4DDB5D2CA5CB81E3B9734E1B
1474631,0,-1.0,-1,1603937884,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,55A847DD54E125A3EB815A9418007C4B
1593181,0,-1.0,-1,1600527588,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,B0A687C3CDC8E967B635AFC4E25418A7
1599351,0,-1.0,-1,1596507592,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,F6645C1713F031D4544F5CEA5AA52B0F
1695245,0,-1.0,-1,1601777764,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,3B314FEA0BED6D45D74755C44B274951
1882053,0,-1.0,-1,1597734666,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,A375D029D9223CBA440BD1845412231B
1948759,0,-1.0,-1,1600708418,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,B96C7E0DCF4A5A06F9F26ABBC31A1ECD
1989566,0,-1.0,-1,1597193823,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,E74639BB3C4E4FBEBE2DAADA4D43B62B
1994384,0,-1.0,-1,1600475662,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,2A0FC3E2823F3472ABBA996450CC6FC0
2243973,0,-1.0,-1,1603661306,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,969DD975DE310DFD3A3B5B23EC0E8EB5
2547305,0,-1.0,-1,1598154970,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,3BF255BFDF75F5774303E71B34A35AB1
2570248,0,-1.0,-1,1598404453,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,F49DDF997F26E8FF9B5B14A3A3A6D942
2580790,0,-1.0,-1,1598408763,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,113EEFD823442BB40925FF41F3CF3F95
2615039,0,-1.0,-1,1598769006,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,7FB7036B48AE9549EA9B21602AD21519
2719146,0,-1.0,-1,1597609355,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,F93A0D8B011571C7B35732DFD533CEF2
2719890,0,-1.0,-1,1597629899,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,C5D8A61290D09601491AF2BA22C89775
2740129,0,-1.0,-1,1602424310,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,BF64EA1E3476E8D9C5AFBC8FD717716C
2787962,0,-1.0,-1,1599505520,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,47DC1FB49EA613CC9B4EE5CABF850C95
2805368,0,-1.0,-1,1600213737,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,C7E937CF011B814DBE308970A9377B68
2967735,0,-1.0,-1,1598228576,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,14992789D098452B18A77B2A1CE0A93C
3054626,0,-1.0,-1,1602094460,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,A08365A9547FEDFC9759E6F08FF5406C
3218660,0,-1.0,-1,1599331212,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,74A4C8A37CC52D41E7A71FF06AC90922
3275446,0,-1.0,-1,1601481162,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,09A9E00D0B6DB76687BEBFC582A4B6CE
3283809,0,-1.0,-1,1603113100,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,25ED19C5C86C937958EDA071804E415C
3307897,0,-1.0,-1,1598132460,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,1ABECD9E0D96680C5C40938DD808F236
3397493,0,-1.0,-1,1601506820,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,E20F04FDCB3B88AADF7FDF220338EA88
3470082,0,-1.0,-1,1597704923,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,E93018FB25B62653126249866992C12A
3502761,0,-1.0,-1,1597458519,-1,0.0,-1,FF2C446555E3822B0E0FC3406116E86D,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,42F79654D82CFC6B6B04A2F7B8D3D0BF
3563032,0,-1.0,-1,1603859516,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,4A2A425C4D69F2703603F8710A34BABB
3580669,0,-1.0,-1,1603412810,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,D0EFA4BAB70C904649D494312767B231
3650799,0,-1.0,-1,1598506957,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,DCB91B40D3867D0CC33959903A33390A
3677727,0,-1.0,-1,1599092636,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,E869E9D4D11FF43652156121966FB14E
3797980,0,-1.0,-1,1597172505,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,D84F7D1D6ECF24601235C043CE5E6F52
3808554,0,-1.0,-1,1599487766,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,7FA846BF7B54685756724B8DC77024E5
3833775,0,-1.0,-1,1596834341,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,2ED2E606FD956B8B5BEDE1CE0A11FF78
3858481,0,-1.0,-1,1598885093,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,90B6F1080E2E3674B1E29544829D5B05
3949817,0,-1.0,-1,1599168344,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,F4E6E90889C16206ABA63F1EA1842B9E
3973756,0,-1.0,-1,1600366217,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,E252FB0F2BD0F2D9A0210E85E434241D
3986323,0,-1.0,-1,1601607900,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,A6EF9736F4A609FC1BA336EF1A50ABA8
4001708,0,-1.0,-1,1599871056,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,D396B137F23B27BCDF48FCA415CE8448
4049278,0,-1.0,-1,1596858068,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,2B4ADC0A2BBF88192DAD33C3F7BFF9A0
4054630,0,-1.0,-1,1596864336,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,CF0BF30D9256F745802F090CDFC9B9D1
4118232,0,-1.0,-1,1603323608,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,ADCD25D160430620C02922E53A5417F9
4196547,0,-1.0,-1,1599175822,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,CA2F76A200E2B9A72459D246ED84A146
4200793,0,-1.0,-1,1599181291,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,A0F7D692B258C8A65A9F578AD335B70B
4553333,0,-1.0,-1,1601218179,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,26E797C36540500DD9F0955F0F3FE517
4574069,0,-1.0,-1,1600795211,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,9BFA928160AA1CD3832F6222C1BFDBCF
4732572,0,-1.0,-1,1599860982,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,6E754DC4723B57B677A561A9D887CC05
4734730,0,-1.0,-1,1599847279,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,174868308B9F74F802E7A895B876316A
5006298,0,-1.0,-1,1601097314,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,FFB8078F5DD1884F029DBC1DF0739EC1
5127689,0,-1.0,-1,1600645493,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,3DDD66D1133C0586E26BF4914C6F09F7
5175007,0,-1.0,-1,1597024493,-1,0.0,-1,D7D1FB49049702BF6338894757E0D959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,017EBBBE0B84EC3065F8A4FAFA39A4B2,DEAB10A8336515754297456614C31C1D
